Nom;Prenom;email;age;Domaine_professionnel;Compétences_acquises;Compétences_en_court;Niveau_de_maîtrise;Compétences_cibles;Durée_apprentissage_par_compétence;Dernière_activité;Score
Butler;Latasha;bsalazar@hotmail.com;40;Informatique;"Java, Python, DevOps";"Gestion de projet, Java";Avancé;"Blockchain, Deep Learning";"2 mois, 6 mois, 5 mois";25/01/2025;7
Ortega;Maria;freemankathleen@mcmillan-vaughn.info;49;Médecine;"Machine Learning, Java, SQL";"Java, Cloud";Débutant;"Cloud Computing, Deep Learning";"4 mois, 4 mois, 4 mois";29/01/2025;4
Ball;Paul;mclaughlinsteven@brown-cole.info;57;Informatique;"Python, DevOps, Java";"Machine Learning, Gestion de projet";Intermédiaire;"Deep Learning, Docker";"2 mois, 5 mois, 1 mois";24/02/2025;7
Spencer;Crystal;ilopez@oliver-thomas.net;40;Informatique;"Java, SQL, Gestion de projet";"Machine Learning, Java";Avancé;"Blockchain, Deep Learning";"3 mois, 6 mois, 4 mois";06/02/2025;4
Brown;Ryan;sking@burgess.com;55;Ingénierie;"Gestion de projet, DevOps, Cloud";"Cloud, Java";Intermédiaire;"Blockchain, Docker";"4 mois, 6 mois, 4 mois";20/02/2025;2
Lewis;Earl;karacollins@yahoo.com;54;Marketing;"Java, Machine Learning, Cloud";"Machine Learning, DevOps";Intermédiaire;"Cloud Computing, Kubernetes";"3 mois, 4 mois, 6 mois";23/02/2025;7
Williams;Michael;zprice@roy.net;22;Ingénierie;"Cloud, Gestion de projet, Python";"Machine Learning, SQL";Avancé;"Docker, Blockchain";"3 mois, 5 mois, 4 mois";13/01/2025;4
Wilson;Jose;sullivanrichard@yahoo.com;46;Informatique;"SQL, DevOps, Python";"Machine Learning, Gestion de projet";Débutant;"Blockchain, Kubernetes";"6 mois, 5 mois, 4 mois";09/01/2025;4
Ortiz;Melissa;jimmy34@duarte.com;38;Ingénierie;"Machine Learning, DevOps, SQL";"Java, SQL";Avancé;"Cloud Computing, Deep Learning";"6 mois, 5 mois, 4 mois";15/02/2025;6
Mccullough;David;carmenjohnson@gmail.com;60;Informatique;"Python, Java, Cloud";"Java, Machine Learning";Débutant;"Kubernetes, Deep Learning";"6 mois, 6 mois, 5 mois";03/01/2025;2
Harrison;Paula;gregorysamuel@avila-lucero.com;26;Ingénierie;"Python, Cloud, SQL";"Gestion de projet, Java";Débutant;"Blockchain, Deep Learning";"6 mois, 5 mois, 2 mois";07/02/2025;10
Gomez;Mary;chavezkevin@phillips.com;53;Informatique;"Machine Learning, Python, SQL";"Gestion de projet, SQL";Avancé;"Kubernetes, Deep Learning";"2 mois, 4 mois, 2 mois";22/02/2025;9
Mccall;Kenneth;hilllance@yahoo.com;35;Finance;"Gestion de projet, Cloud, DevOps";"Java, Python";Avancé;"Blockchain, Docker";"3 mois, 6 mois, 6 mois";29/01/2025;4
Mcgee;Richard;hamiltonjohn@hotmail.com;60;Médecine;"DevOps, Gestion de projet, Python";"Gestion de projet, SQL";Débutant;"Deep Learning, Kubernetes";"4 mois, 6 mois, 5 mois";15/01/2025;8
Smith;Courtney;amandadavis@yahoo.com;43;Finance;"Machine Learning, Python, DevOps";"DevOps, Cloud";Intermédiaire;"Kubernetes, Cloud Computing";"5 mois, 4 mois, 2 mois";18/02/2025;6
Smith;Lee;calvinsmith@gilbert.com;35;Marketing;"DevOps, Cloud, SQL";"Gestion de projet, Python";Débutant;"Deep Learning, Kubernetes";"1 mois, 2 mois, 5 mois";17/01/2025;7
Long;Robert;gholmes@cochran.com;60;Finance;"DevOps, Gestion de projet, Machine Learning";"DevOps, Java";Intermédiaire;"Deep Learning, Docker";"1 mois, 6 mois, 3 mois";02/03/2025;3
James;Christopher;davidcarlson@cervantes.com;39;Marketing;"Machine Learning, Java, Python";"Machine Learning, Python";Débutant;"Blockchain, Docker";"4 mois, 4 mois, 6 mois";13/02/2025;4
Parsons;Daniel;barry23@phillips.com;24;Informatique;"Python, Cloud, SQL";"DevOps, Python";Débutant;"Cloud Computing, Kubernetes";"6 mois, 2 mois, 3 mois";23/01/2025;4
Hopkins;Ethan;udavis@yahoo.com;46;Informatique;"DevOps, Cloud, Python";"Python, Machine Learning";Intermédiaire;"Docker, Deep Learning";"4 mois, 4 mois, 2 mois";15/02/2025;9
Archer;Jamie;sosaamanda@yahoo.com;26;Finance;"Cloud, Machine Learning, SQL";"SQL, DevOps";Intermédiaire;"Deep Learning, Docker";"4 mois, 2 mois, 1 mois";16/02/2025;4
Garcia;Michael;smithdylan@ritter.com;31;Finance;"Machine Learning, DevOps, Gestion de projet";"Cloud, Python";Intermédiaire;"Kubernetes, Deep Learning";"1 mois, 6 mois, 2 mois";16/02/2025;3
Leon;Joseph;troyturner@yahoo.com;25;Médecine;"Python, Cloud, Java";"Cloud, Machine Learning";Avancé;"Docker, Deep Learning";"5 mois, 6 mois, 3 mois";24/02/2025;10
Gomez;Maria;marc37@williams.com;26;Ingénierie;"Cloud, Java, Machine Learning";"Python, DevOps";Intermédiaire;"Deep Learning, Kubernetes";"1 mois, 1 mois, 4 mois";23/01/2025;3
Weaver;Justin;david25@gmail.com;51;Informatique;"Java, SQL, Cloud";"SQL, Machine Learning";Intermédiaire;"Docker, Blockchain";"3 mois, 1 mois, 5 mois";13/02/2025;2
Morton;Carl;anguyen@porter.org;41;Marketing;"Python, SQL, DevOps";"Cloud, Machine Learning";Intermédiaire;"Kubernetes, Cloud Computing";"1 mois, 5 mois, 1 mois";22/01/2025;7
Davis;Nathan;william29@rangel-horne.biz;42;Ingénierie;"SQL, Python, Cloud";"DevOps, Gestion de projet";Avancé;"Docker, Kubernetes";"5 mois, 6 mois, 1 mois";11/01/2025;8
Reyes;Molly;combsanna@yahoo.com;21;Ingénierie;"Java, Machine Learning, Python";"Java, DevOps";Débutant;"Cloud Computing, Docker";"4 mois, 1 mois, 5 mois";30/01/2025;7
Stevenson;Randy;nancyscott@coleman-spears.com;24;Ingénierie;"DevOps, SQL, Python";"Machine Learning, Python";Intermédiaire;"Deep Learning, Blockchain";"4 mois, 5 mois, 5 mois";17/02/2025;10
Wright;Stephanie;jamescarpenter@watson.com;33;Finance;"Java, Python, DevOps";"SQL, Cloud";Avancé;"Docker, Cloud Computing";"6 mois, 5 mois, 3 mois";05/02/2025;9
Myers;Ricardo;fosterjennifer@roberts.com;54;Ingénierie;"Python, Cloud, Gestion de projet";"DevOps, Cloud";Débutant;"Deep Learning, Cloud Computing";"6 mois, 2 mois, 2 mois";07/01/2025;5
Fernandez;Patricia;laura83@hotmail.com;54;Informatique;"Machine Learning, Python, DevOps";"Python, Cloud";Avancé;"Deep Learning, Blockchain";"4 mois, 3 mois, 4 mois";01/03/2025;6
Farley;Chelsea;fbaker@yahoo.com;42;Ingénierie;"Java, Gestion de projet, DevOps";"Python, Java";Avancé;"Deep Learning, Docker";"2 mois, 4 mois, 5 mois";10/01/2025;9
Chavez;Sarah;garciajennifer@yahoo.com;39;Ingénierie;"DevOps, Cloud, Java";"Python, Gestion de projet";Intermédiaire;"Blockchain, Deep Learning";"1 mois, 5 mois, 2 mois";05/02/2025;1
Sutton;Jessica;lharris@peterson.com;26;Marketing;"Java, Gestion de projet, Cloud";"SQL, DevOps";Débutant;"Cloud Computing, Docker";"4 mois, 2 mois, 1 mois";18/02/2025;1
Perry;Leslie;juliehoward@keller-king.com;54;Informatique;"Gestion de projet, Machine Learning, Python";"DevOps, Java";Débutant;"Cloud Computing, Docker";"2 mois, 5 mois, 3 mois";16/02/2025;7
Stephens;Jacqueline;hodgesjames@ayers-jackson.org;53;Médecine;"Python, Gestion de projet, SQL";"Cloud, Python";Débutant;"Kubernetes, Blockchain";"2 mois, 5 mois, 2 mois";11/02/2025;1
Hanson;Scott;williamsmichele@gmail.com;42;Finance;"Gestion de projet, Cloud, Python";"Cloud, SQL";Débutant;"Docker, Blockchain";"1 mois, 5 mois, 3 mois";10/01/2025;6
Booker;Jeffrey;yfaulkner@gutierrez-simmons.info;44;Médecine;"DevOps, Java, Machine Learning";"Gestion de projet, Machine Learning";Intermédiaire;"Kubernetes, Blockchain";"4 mois, 3 mois, 4 mois";03/02/2025;10
Graham;Jack;gibbsamy@miranda.com;23;Marketing;"Java, Machine Learning, SQL";"SQL, DevOps";Avancé;"Blockchain, Deep Learning";"3 mois, 6 mois, 2 mois";17/02/2025;2
Saunders;Sharon;donald68@williams-williams.com;40;Finance;"Machine Learning, Cloud, SQL";"DevOps, Cloud";Avancé;"Blockchain, Kubernetes";"1 mois, 4 mois, 6 mois";27/02/2025;10
Paul;Laurie;christinacarr@gmail.com;28;Médecine;"Cloud, SQL, Machine Learning";"SQL, Python";Débutant;"Cloud Computing, Docker";"2 mois, 6 mois, 4 mois";28/01/2025;10
Anthony;Selena;christensenbenjamin@gmail.com;27;Ingénierie;"SQL, Java, Python";"Gestion de projet, Python";Avancé;"Docker, Deep Learning";"1 mois, 4 mois, 3 mois";07/02/2025;2
Le;Phillip;zacharypena@coleman.net;38;Médecine;"SQL, Machine Learning, Java";"DevOps, SQL";Intermédiaire;"Cloud Computing, Blockchain";"1 mois, 3 mois, 5 mois";17/02/2025;6
Obrien;Christopher;moodytommy@johnson.com;37;Ingénierie;"Gestion de projet, Python, DevOps";"Gestion de projet, Python";Intermédiaire;"Blockchain, Cloud Computing";"2 mois, 4 mois, 5 mois";10/01/2025;8
Clark;Jared;bryantnathaniel@palmer-meyer.org;47;Ingénierie;"Machine Learning, SQL, Java";"Gestion de projet, Python";Avancé;"Cloud Computing, Blockchain";"1 mois, 2 mois, 6 mois";17/01/2025;8
Cameron;Andrew;doughertychase@taylor.com;45;Médecine;"Java, DevOps, Python";"Python, Machine Learning";Intermédiaire;"Blockchain, Cloud Computing";"4 mois, 2 mois, 1 mois";26/01/2025;10
Cook;Jonathan;christina80@yahoo.com;39;Informatique;"Machine Learning, Java, Gestion de projet";"Python, SQL";Débutant;"Blockchain, Kubernetes";"6 mois, 4 mois, 2 mois";06/02/2025;2
Lyons;Eric;garciatyrone@clark.com;40;Médecine;"Cloud, Machine Learning, DevOps";"Java, Python";Avancé;"Blockchain, Kubernetes";"4 mois, 4 mois, 1 mois";07/02/2025;1
Riley;Jonathan;rodriguezerik@hotmail.com;41;Finance;"Python, Java, Cloud";"Python, Cloud";Avancé;"Blockchain, Cloud Computing";"6 mois, 3 mois, 2 mois";20/01/2025;5
Vazquez;Brian;pamelaharris@hotmail.com;28;Marketing;"SQL, DevOps, Gestion de projet";"Java, Gestion de projet";Débutant;"Docker, Cloud Computing";"4 mois, 2 mois, 3 mois";13/02/2025;8
Steele;Katie;ypatterson@garcia-king.net;35;Ingénierie;"DevOps, Machine Learning, Python";"DevOps, Cloud";Avancé;"Blockchain, Kubernetes";"1 mois, 4 mois, 1 mois";01/01/2025;5
Pruitt;Joseph;blackerika@yahoo.com;38;Médecine;"Python, Java, DevOps";"Python, Java";Avancé;"Blockchain, Deep Learning";"5 mois, 5 mois, 1 mois";02/01/2025;5
Ryan;Matthew;bparker@ray.com;24;Marketing;"Machine Learning, Cloud, Gestion de projet";"Java, Gestion de projet";Débutant;"Kubernetes, Cloud Computing";"5 mois, 6 mois, 4 mois";23/01/2025;7
Mckee;Renee;jamiemontgomery@gmail.com;45;Finance;"Python, Java, Cloud";"Python, Cloud";Intermédiaire;"Deep Learning, Blockchain";"4 mois, 4 mois, 6 mois";18/01/2025;6
Carter;Jeremy;morrisonmelissa@lawrence.com;37;Informatique;"Cloud, Gestion de projet, DevOps";"DevOps, Machine Learning";Débutant;"Blockchain, Cloud Computing";"5 mois, 4 mois, 4 mois";01/03/2025;9
Martinez;Gary;clarkjesus@gmail.com;23;Médecine;"Python, SQL, Cloud";"Machine Learning, Gestion de projet";Avancé;"Deep Learning, Blockchain";"6 mois, 3 mois, 2 mois";31/01/2025;7
Fleming;Jennifer;jaclyndavis@reed-willis.com;54;Ingénierie;"DevOps, Cloud, Python";"Python, SQL";Intermédiaire;"Cloud Computing, Blockchain";"6 mois, 2 mois, 4 mois";11/01/2025;3
Hernandez;Dustin;kevindavidson@yahoo.com;44;Informatique;"Cloud, Python, Machine Learning";"Python, Java";Intermédiaire;"Blockchain, Cloud Computing";"5 mois, 5 mois, 3 mois";01/01/2025;2
Duke;Ashlee;jacksonpatrick@hotmail.com;31;Informatique;"DevOps, Java, Python";"DevOps, Python";Avancé;"Deep Learning, Cloud Computing";"3 mois, 2 mois, 5 mois";16/02/2025;8
Wong;Jason;theresaowen@hotmail.com;31;Médecine;"Python, SQL, DevOps";"Java, SQL";Débutant;"Kubernetes, Deep Learning";"4 mois, 5 mois, 6 mois";19/02/2025;4
Taylor;Mario;william51@gmail.com;58;Finance;"Cloud, Python, Machine Learning";"Gestion de projet, Cloud";Débutant;"Blockchain, Kubernetes";"5 mois, 6 mois, 2 mois";17/01/2025;7
Cooper;Maurice;adamsamy@gmail.com;38;Ingénierie;"Cloud, Gestion de projet, Java";"SQL, Java";Débutant;"Kubernetes, Deep Learning";"3 mois, 1 mois, 4 mois";14/01/2025;9
Lee;Hector;waltersmichael@hotmail.com;40;Ingénierie;"Java, Cloud, Machine Learning";"SQL, DevOps";Intermédiaire;"Docker, Deep Learning";"3 mois, 3 mois, 4 mois";17/01/2025;2
Hill;Paul;brianhawkins@mcpherson.com;20;Marketing;"DevOps, Python, Gestion de projet";"Machine Learning, Cloud";Avancé;"Cloud Computing, Deep Learning";"6 mois, 4 mois, 3 mois";26/01/2025;3
Lee;Timothy;nbaldwin@hotmail.com;34;Ingénierie;"SQL, Gestion de projet, Python";"Java, Python";Débutant;"Kubernetes, Deep Learning";"3 mois, 4 mois, 3 mois";30/01/2025;6
Scott;John;hernandezmariah@gmail.com;59;Informatique;"DevOps, Java, Cloud";"Java, Cloud";Intermédiaire;"Deep Learning, Blockchain";"2 mois, 6 mois, 5 mois";11/01/2025;1
Phelps;Howard;melissa11@yahoo.com;54;Ingénierie;"Java, DevOps, SQL";"Java, Python";Avancé;"Blockchain, Docker";"3 mois, 1 mois, 3 mois";26/01/2025;3
Curtis;Patrick;simsdavid@newton.biz;34;Médecine;"Cloud, Gestion de projet, SQL";"Java, Python";Débutant;"Cloud Computing, Kubernetes";"5 mois, 1 mois, 6 mois";25/01/2025;7
Reid;Kristen;jonathan56@gmail.com;22;Médecine;"Java, Cloud, Gestion de projet";"SQL, Java";Débutant;"Kubernetes, Blockchain";"3 mois, 1 mois, 2 mois";04/01/2025;2
Scott;Kimberly;robert99@stewart-little.biz;53;Informatique;"Java, Machine Learning, Cloud";"Machine Learning, SQL";Avancé;"Deep Learning, Cloud Computing";"4 mois, 3 mois, 3 mois";12/02/2025;2
Clark;Zachary;velasquezjennifer@gmail.com;42;Médecine;"DevOps, Python, SQL";"Java, Gestion de projet";Débutant;"Docker, Cloud Computing";"2 mois, 6 mois, 1 mois";16/01/2025;10
Hill;Kevin;bethany90@gmail.com;27;Marketing;"Python, DevOps, Machine Learning";"Machine Learning, Python";Intermédiaire;"Blockchain, Docker";"5 mois, 4 mois, 2 mois";23/01/2025;4
Hill;David;zhorton@hotmail.com;46;Finance;"Cloud, Python, DevOps";"Python, Cloud";Avancé;"Docker, Kubernetes";"4 mois, 3 mois, 2 mois";02/02/2025;8
Russell;David;claudiafreeman@hotmail.com;39;Médecine;"Python, Java, Gestion de projet";"Machine Learning, SQL";Débutant;"Cloud Computing, Kubernetes";"6 mois, 3 mois, 4 mois";15/02/2025;4
Arnold;Shawn;aguilarjames@hopkins-turner.com;40;Informatique;"Java, Cloud, SQL";"Gestion de projet, Java";Avancé;"Kubernetes, Docker";"4 mois, 1 mois, 4 mois";01/03/2025;9
Lawson;Jennifer;xfreeman@wood-hughes.com;40;Ingénierie;"SQL, Gestion de projet, Java";"Python, SQL";Avancé;"Deep Learning, Kubernetes";"4 mois, 6 mois, 4 mois";26/02/2025;7
Anderson;Jared;xlong@hotmail.com;29;Informatique;"Gestion de projet, Machine Learning, Python";"Cloud, Python";Débutant;"Deep Learning, Blockchain";"1 mois, 5 mois, 3 mois";01/02/2025;1
Harding;Henry;pamjohnson@gonzales-dean.com;52;Marketing;"Python, Java, Gestion de projet";"Python, DevOps";Intermédiaire;"Docker, Blockchain";"5 mois, 6 mois, 1 mois";17/02/2025;1
Smith;Jacob;christine35@yahoo.com;25;Informatique;"Java, Python, SQL";"Machine Learning, SQL";Avancé;"Docker, Blockchain";"3 mois, 5 mois, 4 mois";26/02/2025;2
Wallace;Cindy;davidcurry@gmail.com;51;Informatique;"Python, Cloud, Machine Learning";"Java, SQL";Intermédiaire;"Kubernetes, Docker";"1 mois, 1 mois, 2 mois";23/01/2025;1
Smith;Robert;lindseysullivan@flores.com;48;Informatique;"DevOps, Cloud, Java";"Cloud, Java";Avancé;"Kubernetes, Deep Learning";"2 mois, 1 mois, 5 mois";20/02/2025;9
Bailey;Jennifer;kimchristian@yahoo.com;49;Ingénierie;"DevOps, Gestion de projet, Java";"DevOps, Machine Learning";Débutant;"Kubernetes, Blockchain";"5 mois, 1 mois, 1 mois";29/01/2025;7
Castillo;Cheryl;patrick08@hunter-howard.com;44;Ingénierie;"Java, Machine Learning, Cloud";"Machine Learning, DevOps";Intermédiaire;"Docker, Cloud Computing";"4 mois, 3 mois, 4 mois";12/01/2025;3
Reese;Lindsay;terrimeyer@waters-butler.com;21;Finance;"Gestion de projet, Cloud, DevOps";"Gestion de projet, Machine Learning";Débutant;"Cloud Computing, Kubernetes";"1 mois, 2 mois, 4 mois";10/01/2025;5
Shaw;Joshua;franciscobradshaw@ray.com;36;Finance;"SQL, Java, Gestion de projet";"SQL, Python";Débutant;"Blockchain, Kubernetes";"2 mois, 4 mois, 5 mois";02/01/2025;7
Rodriguez;Jo;evalencia@hotmail.com;22;Marketing;"Machine Learning, Java, SQL";"Cloud, SQL";Avancé;"Docker, Cloud Computing";"4 mois, 4 mois, 1 mois";18/01/2025;7
Welch;Ashley;william34@gmail.com;54;Médecine;"SQL, Python, Cloud";"Machine Learning, SQL";Intermédiaire;"Docker, Deep Learning";"2 mois, 1 mois, 6 mois";31/01/2025;6
Beck;Mark;wwilliams@gomez-glover.org;54;Informatique;"DevOps, Python, Gestion de projet";"DevOps, Machine Learning";Avancé;"Docker, Deep Learning";"4 mois, 2 mois, 5 mois";28/02/2025;4
Miller;Jessica;greentiffany@frank-griffith.com;55;Finance;"Python, Gestion de projet, SQL";"Gestion de projet, Python";Débutant;"Cloud Computing, Docker";"1 mois, 1 mois, 1 mois";07/01/2025;10
Holden;Antonio;hparker@yahoo.com;43;Marketing;"Gestion de projet, Python, Cloud";"Gestion de projet, Python";Intermédiaire;"Docker, Blockchain";"6 mois, 3 mois, 5 mois";05/02/2025;5
Higgins;Samantha;hatfieldnathan@gmail.com;22;Ingénierie;"Cloud, SQL, Machine Learning";"Machine Learning, Python";Avancé;"Blockchain, Kubernetes";"2 mois, 6 mois, 6 mois";01/03/2025;7
Gentry;Laurie;justinmaxwell@hotmail.com;51;Ingénierie;"Machine Learning, DevOps, Java";"Machine Learning, DevOps";Avancé;"Deep Learning, Cloud Computing";"5 mois, 3 mois, 3 mois";09/01/2025;1
Finley;Sydney;josephortiz@bailey.biz;55;Médecine;"Gestion de projet, Java, Cloud";"Gestion de projet, Machine Learning";Débutant;"Blockchain, Cloud Computing";"4 mois, 5 mois, 4 mois";21/01/2025;5
Palmer;Abigail;matthew51@perry.org;52;Ingénierie;"Python, Machine Learning, Java";"Python, Gestion de projet";Avancé;"Cloud Computing, Blockchain";"4 mois, 5 mois, 3 mois";19/02/2025;3
Lee;Michael;watkinstina@orr.com;42;Finance;"Cloud, Java, Gestion de projet";"SQL, Cloud";Intermédiaire;"Cloud Computing, Deep Learning";"2 mois, 5 mois, 6 mois";13/02/2025;9
Sanchez;Brandy;donna50@kirby.com;27;Médecine;"Python, Gestion de projet, Cloud";"Machine Learning, Cloud";Avancé;"Cloud Computing, Docker";"5 mois, 5 mois, 3 mois";08/01/2025;9
Colon;Tracey;kayla93@reyes.info;55;Ingénierie;"Gestion de projet, DevOps, Java";"Java, DevOps";Débutant;"Deep Learning, Docker";"1 mois, 2 mois, 1 mois";15/02/2025;4
Flores;Edwin;james72@hotmail.com;51;Informatique;"Java, Python, SQL";"SQL, DevOps";Intermédiaire;"Cloud Computing, Deep Learning";"3 mois, 1 mois, 6 mois";12/01/2025;2
York;Donna;heatherwilson@gmail.com;39;Marketing;"Gestion de projet, Machine Learning, Java";"SQL, Python";Débutant;"Blockchain, Deep Learning";"2 mois, 4 mois, 6 mois";12/02/2025;9
Barnett;Jill;mkeller@martin.org;34;Ingénierie;"DevOps, Python, Gestion de projet";"DevOps, Python";Avancé;"Cloud Computing, Blockchain";"3 mois, 4 mois, 6 mois";27/01/2025;1
Gates;James;jose91@yahoo.com;39;Finance;"Gestion de projet, Python, SQL";"Cloud, Machine Learning";Avancé;"Kubernetes, Deep Learning";"6 mois, 6 mois, 4 mois";16/01/2025;9
Sherman;Catherine;zmccormick@nelson.org;33;Marketing;"Cloud, DevOps, Machine Learning";"Machine Learning, DevOps";Avancé;"Cloud Computing, Deep Learning";"2 mois, 2 mois, 5 mois";18/02/2025;7
Ortiz;Andrea;bianca46@yahoo.com;51;Informatique;"Java, SQL, Cloud";"Gestion de projet, Java";Intermédiaire;"Cloud Computing, Docker";"2 mois, 1 mois, 4 mois";03/02/2025;9
Smith;Nicole;courtney71@yahoo.com;29;Ingénierie;"Machine Learning, DevOps, SQL";"Gestion de projet, Cloud";Avancé;"Deep Learning, Cloud Computing";"5 mois, 3 mois, 3 mois";20/02/2025;8
Santos;Jose;davidgallagher@hotmail.com;38;Médecine;"Java, Cloud, Gestion de projet";"Java, DevOps";Débutant;"Deep Learning, Blockchain";"5 mois, 6 mois, 5 mois";25/02/2025;5
Vance;Cole;shawnhaney@hayes-torres.info;59;Médecine;"Machine Learning, Gestion de projet, SQL";"Cloud, DevOps";Avancé;"Docker, Kubernetes";"5 mois, 1 mois, 1 mois";04/02/2025;8
Pace;Mark;thomaspeterson@gmail.com;36;Finance;"SQL, Machine Learning, DevOps";"Cloud, DevOps";Avancé;"Blockchain, Kubernetes";"2 mois, 6 mois, 4 mois";02/02/2025;2
Thomas;Christina;aaron55@yahoo.com;27;Marketing;"Gestion de projet, SQL, Machine Learning";"Python, Java";Intermédiaire;"Blockchain, Kubernetes";"2 mois, 5 mois, 2 mois";16/01/2025;4
Fletcher;Madison;ayersjoshua@yahoo.com;31;Marketing;"Machine Learning, Gestion de projet, Cloud";"DevOps, Machine Learning";Avancé;"Cloud Computing, Kubernetes";"4 mois, 4 mois, 1 mois";05/01/2025;8
Martinez;Kevin;dananelson@wade.com;36;Informatique;"Java, DevOps, Machine Learning";"SQL, Python";Débutant;"Docker, Deep Learning";"4 mois, 1 mois, 2 mois";14/02/2025;1
Scott;Tanner;greenvictoria@garcia.net;52;Ingénierie;"Java, Gestion de projet, Cloud";"Java, Cloud";Avancé;"Blockchain, Deep Learning";"3 mois, 2 mois, 1 mois";10/02/2025;8
Bailey;Lance;eruiz@carter.info;31;Ingénierie;"Machine Learning, Java, DevOps";"Cloud, SQL";Avancé;"Docker, Cloud Computing";"6 mois, 2 mois, 3 mois";05/02/2025;7
Davis;Holly;umartin@yahoo.com;55;Finance;"Java, Python, SQL";"SQL, Gestion de projet";Débutant;"Cloud Computing, Kubernetes";"1 mois, 5 mois, 2 mois";05/02/2025;8
Ortiz;Kevin;ginanewman@velasquez-mitchell.net;34;Médecine;"SQL, Gestion de projet, Cloud";"Machine Learning, Gestion de projet";Intermédiaire;"Blockchain, Docker";"6 mois, 4 mois, 1 mois";17/02/2025;4
Pope;Julie;traceyowens@greene-vargas.net;36;Marketing;"Gestion de projet, Python, Cloud";"DevOps, Gestion de projet";Intermédiaire;"Blockchain, Kubernetes";"5 mois, 5 mois, 2 mois";27/01/2025;1
Diaz;Andrea;zduarte@gmail.com;51;Informatique;"Java, DevOps, Cloud";"Cloud, SQL";Intermédiaire;"Kubernetes, Docker";"6 mois, 1 mois, 2 mois";26/02/2025;3
Castro;Janice;sswanson@reyes.net;25;Finance;"Gestion de projet, Python, Cloud";"Cloud, Java";Débutant;"Deep Learning, Cloud Computing";"1 mois, 1 mois, 3 mois";18/01/2025;6
Mcintosh;Theresa;andradedanielle@gmail.com;40;Marketing;"SQL, Java, Python";"Cloud, Gestion de projet";Intermédiaire;"Cloud Computing, Docker";"1 mois, 1 mois, 4 mois";02/01/2025;4
Maldonado;Austin;eric15@johnson-lewis.info;32;Ingénierie;"SQL, DevOps, Gestion de projet";"SQL, Cloud";Débutant;"Docker, Deep Learning";"5 mois, 4 mois, 4 mois";13/02/2025;5
Nguyen;Laura;devonshelton@yahoo.com;49;Marketing;"Python, Gestion de projet, Java";"SQL, Gestion de projet";Débutant;"Blockchain, Deep Learning";"1 mois, 1 mois, 3 mois";08/02/2025;7
Vaughn;Crystal;levicollins@gmail.com;56;Finance;"Cloud, SQL, Machine Learning";"DevOps, Machine Learning";Avancé;"Deep Learning, Cloud Computing";"3 mois, 4 mois, 1 mois";18/01/2025;3
Bell;Yolanda;wfrey@yahoo.com;26;Marketing;"Gestion de projet, Machine Learning, Cloud";"Cloud, Python";Avancé;"Blockchain, Kubernetes";"4 mois, 1 mois, 6 mois";14/01/2025;10
Walker;Joshua;miguel70@gmail.com;56;Ingénierie;"Cloud, DevOps, SQL";"Machine Learning, Cloud";Avancé;"Blockchain, Kubernetes";"4 mois, 2 mois, 6 mois";28/02/2025;7
Lopez;Dustin;ymichael@yahoo.com;53;Informatique;"SQL, Cloud, Gestion de projet";"Machine Learning, Python";Intermédiaire;"Kubernetes, Deep Learning";"5 mois, 6 mois, 3 mois";15/01/2025;8
Bryant;Jack;rhonda11@hotmail.com;35;Finance;"Gestion de projet, Python, Java";"Cloud, Machine Learning";Avancé;"Cloud Computing, Docker";"3 mois, 1 mois, 3 mois";04/01/2025;1
Kennedy;Charles;jonesvictor@hotmail.com;53;Marketing;"Machine Learning, Cloud, DevOps";"Machine Learning, Java";Débutant;"Deep Learning, Kubernetes";"1 mois, 5 mois, 6 mois";08/02/2025;5
Garcia;Melanie;bphillips@wheeler-avery.info;37;Marketing;"DevOps, Cloud, Java";"Cloud, Python";Intermédiaire;"Deep Learning, Blockchain";"3 mois, 5 mois, 4 mois";23/02/2025;8
Carney;Peter;luisthompson@hotmail.com;42;Marketing;"Java, Cloud, SQL";"DevOps, SQL";Intermédiaire;"Cloud Computing, Deep Learning";"2 mois, 5 mois, 6 mois";24/01/2025;9
Roberts;Chad;michelle54@yahoo.com;31;Médecine;"DevOps, SQL, Python";"Machine Learning, DevOps";Intermédiaire;"Kubernetes, Cloud Computing";"2 mois, 6 mois, 2 mois";22/01/2025;10
Fox;John;cohenjerry@davis.com;34;Marketing;"DevOps, Java, Machine Learning";"DevOps, Java";Intermédiaire;"Docker, Kubernetes";"1 mois, 6 mois, 4 mois";28/02/2025;5
Nelson;Terri;chawkins@gmail.com;47;Marketing;"SQL, Cloud, Java";"Cloud, Python";Débutant;"Kubernetes, Docker";"6 mois, 6 mois, 4 mois";02/01/2025;5
Miller;Alex;holderlisa@hotmail.com;26;Marketing;"Java, Machine Learning, DevOps";"DevOps, Machine Learning";Intermédiaire;"Blockchain, Deep Learning";"4 mois, 6 mois, 4 mois";22/02/2025;7
Bailey;Nicholas;garrettjose@allen.com;54;Marketing;"Cloud, Machine Learning, SQL";"DevOps, Cloud";Débutant;"Cloud Computing, Kubernetes";"3 mois, 4 mois, 5 mois";05/01/2025;9
Valencia;Chelsea;qrivers@gmail.com;47;Marketing;"Java, SQL, DevOps";"Cloud, DevOps";Intermédiaire;"Blockchain, Deep Learning";"2 mois, 4 mois, 4 mois";24/01/2025;1
